postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.16,0.732,0.10800000000000000,11299,0.862911598524243,192,378,408,92.24,2
0.171,0.738,0.091,661,0.855762948988783,26,61,120,79.09,2
0.159,0.727,0.114,1192,0.863129317906328,48,87,155,81.26,2
0.14,0.7560000000000000,0.10300000000000000,1257,0.866870473929637,50,128,158,82.89,2
0.16400000000000000,0.7120000000000000,0.124,4577,0.867282571548601,120,361,255,78.18,2
0.099,0.7980000000000000,0.10300000000000000,3178,0.851805676128746,137,49,343,56.27,4
0.15,0.754,0.095,4723,0.875091936390337,171,277,221,79.82,2
0.135,0.778,0.087,5068,0.857679622414088,135,130,283,92.65,2
0.122,0.7830000000000000,0.095,730,0.854517397923274,36,44,79,78.54,2
0.08800000000000000,0.8270000000000000,0.085,423,0.848432811958277,14,0,101,75.64,2
0.147,0.7880000000000000,0.065,6921,0.861452326951243,259,226,233,92.24,2
0.17300000000000000,0.733,0.094,735,0.86359537796584,27,52,76,80.03,2
0.11900000000000000,0.816,0.065,5554,0.858498079842494,120,273,345,103.38,2
0.113,0.79,0.098,797,0.855944641092742,69,38,123,79.54,2
0.113,0.7910000000000000,0.096,648,0.86184789355066,58,58,119,80.15,2
0.131,0.765,0.10400000000000000,1131,0.864271624183027,111,58,248,70.74,2
0.107,0.773,0.12,870,0.867895219217229,50,67,120,84.98,2
0.113,0.782,0.105,921,0.868359403041904,91,92,126,82.95,2
0.147,0.7830000000000000,0.071,7005,0.87032648575433,262,323,401,81.5,2
0.12300000000000000,0.789,0.08800000000000000,4939,0.863063745047343,390,192,259,77.0,2
0.135,0.7760000000000000,0.08900000000000000,5308,0.853807381212415,208,176,322,78.77,2
0.13700000000000000,0.792,0.071,4380,0.866218808599347,230,151,293,78.94,2
0.153,0.747,0.10100000000000000,6921,0.869675043805116,220,301,320,78.79,2
0.174,0.7340000000000000,0.092,7368,0.870306756588865,170,325,222,81.7,2
0.128,0.757,0.115,6509,0.87309448050854,209,273,424,91.84,1
0.111,0.7980000000000000,0.09,3573,0.854540152782552,107,124,251,81.26,2
0.14800000000000000,0.754,0.098,7591,0.868155102829283,114,297,421,82.57,2
0.114,0.7930000000000000,0.09300000000000000,4601,0.857975488982071,100,108,388,61.8,2
0.14400000000000000,0.763,0.09300000000000000,6522,0.870891158812656,240,220,248,81.36,2
0.165,0.745,0.09,4406,0.873386113670201,349,231,245,79.06,2
0.126,0.784,0.09,4869,0.869194162982526,94,178,335,81.73,1
0.161,0.735,0.10300000000000000,7661,0.87668408138713,198,407,302,80.07,1
0.14,0.774,0.086,7122,0.8637257470065870,1398,182,413,76.84,2
0.134,0.759,0.107,5119,0.871465882587697,329,218,338,79.54,2
0.156,0.7710000000000000,0.073,11381,0.869330698537942,247,281,293,82.75,2
0.154,0.755,0.091,4061,0.862491623007379,119,130,150,91.19,2
0.10300000000000000,0.7810000000000000,0.11600000000000000,2306,0.867381190747768,74,17,163,82.36,1
0.2,0.713,0.08800000000000000,4607,0.873442742812609,132,203,251,83.92,3
0.14300000000000000,0.754,0.102,7764,0.871170775138444,267,229,507,80.86,3
0.135,0.7390000000000000,0.126,4765,0.867929276393275,123,191,210,70.93,1
0.17,0.754,0.076,730,0.852808012148473,49,9,29,88.92,3
0.133,0.7390000000000000,0.129,1626,0.867280154280734,38,102,161,81.41,3
0.152,0.768,0.079,6146,0.867986708012786,71,99,279,85.54,3
0.122,0.789,0.08800000000000000,3791,0.85740648900661,144,170,407,70.85,5
0.11,0.804,0.086,5559,0.879106711954202,373,171,355,83.48,1
0.16700000000000000,0.746,0.087,4321,0.856366046169851,109,126,239,69.68,3
0.16400000000000000,0.746,0.09,5563,0.8705117269361,282,349,195,81.1,3
0.15,0.765,0.085,7052,0.876588220447755,258,312,339,81.66,3
0.162,0.726,0.11200000000000000,10225,0.879698321720118,302,436,384,81.07,3
0.192,0.7190000000000000,0.08900000000000000,4624,0.878752987693711,167,186,244,84.47,3
0.135,0.765,0.1,4369,0.886432470132952,230,283,307,82.56,3
0.163,0.722,0.115,6120,0.874236511182071,357,384,370,80.29,3
0.16400000000000000,0.7340000000000000,0.102,11813,0.874500833033728,375,423,439,82.72,3
0.115,0.807,0.078,3506,0.861358057205469,364,122,207,73.53,3
0.156,0.7610000000000000,0.083,4363,0.86416055020837,112,176,297,77.61,3
0.152,0.759,0.08900000000000000,4595,0.8685465082866330,256,129,255,81.31,3
0.128,0.769,0.10300000000000000,3454,0.869496585025654,120,182,271,79.89,3
0.152,0.765,0.08200000000000000,5039,0.87480437443607,220,168,330,82.15,3
0.146,0.763,0.091,2413,0.86291534616544,294,161,267,56.89,5
0.14300000000000000,0.764,0.094,10980,0.867834841419815,140,421,423,83.65,3
0.099,0.782,0.11900000000000000,4766,0.85713125358992,154,85,429,75.15,1
0.14,0.787,0.073,4049,0.86972760878932,120,112,272,83.49,3
0.102,0.807,0.091,3536,0.865880344436958,135,165,389,77.55,3
0.16,0.762,0.079,3730,0.871489105362207,208,111,317,80.02,3
0.14800000000000000,0.737,0.115,4366,0.87501947253636,121,311,171,71.47,3
0.128,0.758,0.114,6969,0.867358544310969,138,228,338,81.49,3
0.11200000000000000,0.772,0.11700000000000000,6906,0.862340595245025,170,299,334,80.82,3
0.14300000000000000,0.755,0.102,3499,0.874668675943586,114,229,180,80.26,3
0.17600000000000000,0.736,0.08800000000000000,3396,0.8713616524148390,118,203,207,79.73,3
0.13700000000000000,0.7660000000000000,0.09700000000000000,7289,0.865590382283125,337,238,418,70.36,3
0.161,0.747,0.092,2543,0.871581256511418,111,160,136,80.63,3
0.146,0.773,0.081,3976,0.864893225771622,176,170,218,77.56,3
0.16700000000000000,0.738,0.095,5128,0.878946972154751,205,305,263,79.27,3
0.142,0.758,0.1,5090,0.872716460460777,173,201,274,80.87,3
0.154,0.743,0.10300000000000000,5087,0.867829000719883,134,253,257,81.24,3
0.138,0.774,0.08800000000000000,1159,0.866612408916833,42,61,128,77.96,3
0.128,0.78,0.091,8274,0.867301976025527,258,275,309,83.9,3
0.1,0.81,0.09,3104,0.844898528112102,147,43,231,87.94,3
0.153,0.774,0.073,4620,0.865193881216375,214,117,286,73.59,3
0.172,0.721,0.107,5398,0.872673409588273,99,252,155,79.56,3
0.166,0.748,0.086,5448,0.865417234318066,156,222,265,93.26,3
0.149,0.74,0.111,8301,0.885957915830965,535,303,309,83.78,3
0.129,0.7490000000000000,0.122,2632,0.874145287942295,72,139,148,76.21,3
0.161,0.73,0.109,607,0.873034792684833,27,34,77,77.54,3
0.134,0.7760000000000000,0.09,13155,0.862911823067202,541,250,471,92.62,3
0.15,0.764,0.086,5441,0.877893965755716,208,298,335,82.13,3
0.138,0.7710000000000000,0.09,9511,0.865110398982253,393,297,503,90.44,3
0.10800000000000000,0.774,0.11800000000000000,5935,0.873176232284659,104,170,449,80.57,3
0.152,0.753,0.095,3544,0.87819188620006,160,193,259,81.56,3
0.121,0.7710000000000000,0.10800000000000000,2542,0.872390971255767,82,126,161,83.76,3
0.134,0.7830000000000000,0.083,2807,0.86736659248139,191,133,227,76.52,3
0.133,0.774,0.09300000000000000,2274,0.852339353766554,227,20,294,70.79,3
0.147,0.77,0.083,3181,0.880200331996642,169,205,166,80.8,3
