postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.098,0.797,0.105,4243,0.8534686541181299,110,103,184,82.06,5
0.136,0.77,0.094,5152,0.8718130582558767,229,347,234,78.18,5
0.122,0.773,0.10400000000000001,10935,0.8716739679201155,230,339,468,82.1,5
0.152,0.745,0.102,4348,0.8823913375785237,157,204,119,81.34,5
0.133,0.779,0.08800000000000001,8578,0.8727161564563397,190,301,256,83.93,5
0.188,0.672,0.141,5851,0.8665511270681355,217,195,405,77.96,5
0.17,0.727,0.10300000000000001,5534,0.8746928762252587,352,294,285,84.14,5
0.107,0.78,0.113,2352,0.8674251081406417,72,71,160,82.76,2
0.152,0.733,0.115,6177,0.8783618355655938,125,142,301,94.75,5
0.124,0.7959999999999999,0.081,7253,0.8738619395062405,103,110,274,82.96,2
0.16699999999999998,0.7509999999999999,0.08199999999999999,8132,0.8702122932518142,223,405,363,79.56,5
0.151,0.741,0.10800000000000001,6148,0.8568550518566741,242,118,339,80.59,7
0.172,0.7390000000000001,0.08800000000000001,2908,0.8697773438551082,145,222,228,79.49,5
0.17600000000000002,0.69,0.134,2070,0.8810768199569624,272,112,320,76.84,5
0.147,0.731,0.122,4176,0.8803320734315458,405,133,288,77.38,5
0.139,0.759,0.102,7368,0.8723471220040019,233,267,457,78.22,5
0.13699999999999998,0.775,0.08800000000000001,4622,0.8706946349948698,234,186,340,64.36,5
0.127,0.777,0.096,1086,0.8598780952145734,91,34,105,65.53,5
0.153,0.752,0.095,11246,0.8662157085779888,262,324,462,81.48,5
0.159,0.7509999999999999,0.09,6927,0.8498791055057336,113,155,217,84.84,6
0.155,0.754,0.091,2306,0.8605812069986742,84,54,74,84.5,5
0.115,0.772,0.113,8121,0.8649883445795655,159,209,309,81.5,5
0.138,0.743,0.11900000000000001,8155,0.8780958471544038,287,174,334,80.83,5
0.145,0.741,0.114,5501,0.8601629919355411,69,246,280,84.96,5
0.106,0.789,0.105,4083,0.8706056895125952,109,180,285,72.62,5
0.135,0.757,0.10800000000000001,10141,0.8692497170880129,214,313,481,78.96,2
0.141,0.777,0.08199999999999999,1695,0.8618909380873121,83,117,51,82.13,5
0.14300000000000002,0.7659999999999999,0.091,10857,0.8627470102763269,241,533,255,82.31,5
0.11900000000000001,0.762,0.12,11017,0.8615859716898036,363,148,404,80.8,5
0.14,0.775,0.084,13838,0.8645895324986231,210,374,422,81.81,5
0.122,0.774,0.10400000000000001,5960,0.8467962618767001,120,137,378,88.3,5
0.10800000000000001,0.7879999999999999,0.10400000000000001,3441,0.8721688782836872,159,44,252,77.96,5
0.151,0.7809999999999999,0.068,6262,0.8632026227428691,158,264,268,91.65,5
0.14400000000000002,0.772,0.084,2158,0.8608048188893496,93,113,147,78.36,5
0.18100000000000002,0.727,0.091,5002,0.8745974528493179,102,153,201,80.29,5
0.149,0.755,0.096,1726,0.8532664015578969,36,129,163,75.0,5
0.146,0.7559999999999999,0.098,6077,0.8674676483657089,232,143,358,82.52,8
0.16399999999999998,0.74,0.09699999999999999,4256,0.8776685458054291,297,243,274,79.81,5
0.14,0.78,0.081,4872,0.8829965534052086,223,267,350,83.56,5
0.14,0.773,0.087,4048,0.8790400379269672,87,202,208,82.32,5
0.10800000000000001,0.789,0.10300000000000001,2590,0.8570535788866662,58,92,199,78.71,2
0.11699999999999999,0.7440000000000001,0.139,885,0.8519492457349089,38,19,83,77.44,2
0.11900000000000001,0.794,0.08800000000000001,4442,0.8655525399187541,154,138,320,79.3,5
0.11,0.785,0.105,1104,0.8608462650547153,31,40,79,79.23,2
0.128,0.762,0.11,1215,0.8516086369557136,26,10,98,78.78,2
0.132,0.777,0.09,944,0.8500345772438324,26,14,106,79.3,2
0.133,0.7759999999999999,0.091,1232,0.85820381136143,37,68,145,88.84,5
0.136,0.76,0.10400000000000001,5091,0.8708118893682336,107,178,235,82.95,5
0.18600000000000003,0.72,0.095,10142,0.8785539571957767,352,308,513,81.36,5
0.155,0.745,0.1,6528,0.8684988187889834,236,150,311,83.27,8
0.166,0.722,0.11199999999999999,6709,0.8708268523926236,173,285,293,82.72,5
0.14,0.789,0.071,3466,0.8720531716344803,133,148,233,81.69,5
0.149,0.757,0.094,7363,0.8688512677782468,116,116,200,84.04,2
0.136,0.762,0.10300000000000001,3518,0.8583759750136216,52,86,340,76.75,2
0.14,0.753,0.107,3315,0.8705242995517036,195,208,198,80.88,5
0.133,0.758,0.109,5567,0.8706025533835718,101,188,429,79.43,2
0.14,0.7659999999999999,0.094,6484,0.8714522915336013,220,187,410,76.31,5
0.124,0.777,0.099,5431,0.8719746798311397,147,219,406,77.14,5
0.158,0.741,0.1,4333,0.8584398413979645,181,143,200,78.22,5
0.132,0.77,0.098,812,0.8428168713808715,29,54,38,77.59,5
0.135,0.76,0.105,5729,0.8675054752886452,106,98,309,82.52,2
0.14,0.7959999999999999,0.064,4700,0.8456592842694711,115,270,135,79.22,5
0.132,0.76,0.10800000000000001,3330,0.8742884321673274,66,159,238,84.7,5
0.129,0.76,0.111,3371,0.8659178057190089,68,150,318,79.47,2
